"activity" "subject" "variable" "value"
"1" "WALKING" 1 "tBodyAcc.mean.X-average" 0.277330758736842
"2" "WALKING" 2 "tBodyAcc.mean.X-average" 0.276426586440678
"3" "WALKING" 3 "tBodyAcc.mean.X-average" 0.275567462068966
"4" "WALKING" 4 "tBodyAcc.mean.X-average" 0.278582015166667
"5" "WALKING" 5 "tBodyAcc.mean.X-average" 0.27784234625
"6" "WALKING" 6 "tBodyAcc.mean.X-average" 0.283658868070175
"7" "WALKING" 7 "tBodyAcc.mean.X-average" 0.275592961754386
"8" "WALKING" 8 "tBodyAcc.mean.X-average" 0.27468631
"9" "WALKING" 9 "tBodyAcc.mean.X-average" 0.278502842115385
"10" "WALKING" 10 "tBodyAcc.mean.X-average" 0.278574076603774
"11" "WALKING" 11 "tBodyAcc.mean.X-average" 0.271821892881356
"12" "WALKING" 12 "tBodyAcc.mean.X-average" 0.2771286656
"13" "WALKING" 13 "tBodyAcc.mean.X-average" 0.275883130350877
"14" "WALKING" 14 "tBodyAcc.mean.X-average" 0.271959598644068
"15" "WALKING" 15 "tBodyAcc.mean.X-average" 0.273899207962963
"16" "WALKING" 16 "tBodyAcc.mean.X-average" 0.276023564509804
"17" "WALKING" 17 "tBodyAcc.mean.X-average" 0.272341855245902
"18" "WALKING" 18 "tBodyAcc.mean.X-average" 0.273887758571429
"19" "WALKING" 19 "tBodyAcc.mean.X-average" 0.273931172307692
"20" "WALKING" 20 "tBodyAcc.mean.X-average" 0.272589336470588
"21" "WALKING" 21 "tBodyAcc.mean.X-average" 0.279183526730769
"22" "WALKING" 22 "tBodyAcc.mean.X-average" 0.27886459
"23" "WALKING" 23 "tBodyAcc.mean.X-average" 0.273211884237288
"24" "WALKING" 24 "tBodyAcc.mean.X-average" 0.276980816034483
"25" "WALKING" 25 "tBodyAcc.mean.X-average" 0.278992759054054
"26" "WALKING" 26 "tBodyAcc.mean.X-average" 0.279264443728814
"27" "WALKING" 27 "tBodyAcc.mean.X-average" 0.276849485438596
"28" "WALKING" 28 "tBodyAcc.mean.X-average" 0.281228223888889
"29" "WALKING" 29 "tBodyAcc.mean.X-average" 0.271999916792453
"30" "WALKING" 30 "tBodyAcc.mean.X-average" 0.276406758
"31" "WALKING_UPSTAIRS" 1 "tBodyAcc.mean.X-average" 0.255461689622641
"32" "WALKING_UPSTAIRS" 2 "tBodyAcc.mean.X-average" 0.247164790395833
"33" "WALKING_UPSTAIRS" 3 "tBodyAcc.mean.X-average" 0.260819873067797
"34" "WALKING_UPSTAIRS" 4 "tBodyAcc.mean.X-average" 0.270876696730769
"35" "WALKING_UPSTAIRS" 5 "tBodyAcc.mean.X-average" 0.268459469914894
"36" "WALKING_UPSTAIRS" 6 "tBodyAcc.mean.X-average" 0.268229355098039
"37" "WALKING_UPSTAIRS" 7 "tBodyAcc.mean.X-average" 0.248706923078431
"38" "WALKING_UPSTAIRS" 8 "tBodyAcc.mean.X-average" 0.258880152048781
"39" "WALKING_UPSTAIRS" 9 "tBodyAcc.mean.X-average" 0.262436475714286
"40" "WALKING_UPSTAIRS" 10 "tBodyAcc.mean.X-average" 0.267121853404255
"41" "WALKING_UPSTAIRS" 11 "tBodyAcc.mean.X-average" 0.263775859277778
"42" "WALKING_UPSTAIRS" 12 "tBodyAcc.mean.X-average" 0.272970338653846
"43" "WALKING_UPSTAIRS" 13 "tBodyAcc.mean.X-average" 0.258203939581818
"44" "WALKING_UPSTAIRS" 14 "tBodyAcc.mean.X-average" 0.26242106612963
"45" "WALKING_UPSTAIRS" 15 "tBodyAcc.mean.X-average" 0.270187595833333
"46" "WALKING_UPSTAIRS" 16 "tBodyAcc.mean.X-average" 0.255986102627451
"47" "WALKING_UPSTAIRS" 17 "tBodyAcc.mean.X-average" 0.252604768583333
"48" "WALKING_UPSTAIRS" 18 "tBodyAcc.mean.X-average" 0.265401201896552
"49" "WALKING_UPSTAIRS" 19 "tBodyAcc.mean.X-average" 0.242118808925
"50" "WALKING_UPSTAIRS" 20 "tBodyAcc.mean.X-average" 0.252098317156863
"51" "WALKING_UPSTAIRS" 21 "tBodyAcc.mean.X-average" 0.265194544680851
"52" "WALKING_UPSTAIRS" 22 "tBodyAcc.mean.X-average" 0.248391534566667
"53" "WALKING_UPSTAIRS" 23 "tBodyAcc.mean.X-average" 0.249995171031373
"54" "WALKING_UPSTAIRS" 24 "tBodyAcc.mean.X-average" 0.269881106779661
"55" "WALKING_UPSTAIRS" 25 "tBodyAcc.mean.X-average" 0.277995411384615
"56" "WALKING_UPSTAIRS" 26 "tBodyAcc.mean.X-average" 0.272691394545455
"57" "WALKING_UPSTAIRS" 27 "tBodyAcc.mean.X-average" 0.265770253921569
"58" "WALKING_UPSTAIRS" 28 "tBodyAcc.mean.X-average" 0.262005841764706
"59" "WALKING_UPSTAIRS" 29 "tBodyAcc.mean.X-average" 0.265423066877551
"60" "WALKING_UPSTAIRS" 30 "tBodyAcc.mean.X-average" 0.271415642261538
"61" "WALKING_DOWNSTAIRS" 1 "tBodyAcc.mean.X-average" 0.289188320408163
"62" "WALKING_DOWNSTAIRS" 2 "tBodyAcc.mean.X-average" 0.27761534806383
"63" "WALKING_DOWNSTAIRS" 3 "tBodyAcc.mean.X-average" 0.292423484693878
"64" "WALKING_DOWNSTAIRS" 4 "tBodyAcc.mean.X-average" 0.279965329555556
"65" "WALKING_DOWNSTAIRS" 5 "tBodyAcc.mean.X-average" 0.29354392712766
"66" "WALKING_DOWNSTAIRS" 6 "tBodyAcc.mean.X-average" 0.277045258145833
"67" "WALKING_DOWNSTAIRS" 7 "tBodyAcc.mean.X-average" 0.28030708
"68" "WALKING_DOWNSTAIRS" 8 "tBodyAcc.mean.X-average" 0.283484089210526
"69" "WALKING_DOWNSTAIRS" 9 "tBodyAcc.mean.X-average" 0.295923445
"70" "WALKING_DOWNSTAIRS" 10 "tBodyAcc.mean.X-average" 0.290401594315789
"71" "WALKING_DOWNSTAIRS" 11 "tBodyAcc.mean.X-average" 0.291605631956522
"72" "WALKING_DOWNSTAIRS" 12 "tBodyAcc.mean.X-average" 0.281521097391304
"73" "WALKING_DOWNSTAIRS" 13 "tBodyAcc.mean.X-average" 0.294907553404255
"74" "WALKING_DOWNSTAIRS" 14 "tBodyAcc.mean.X-average" 0.293422115555556
"75" "WALKING_DOWNSTAIRS" 15 "tBodyAcc.mean.X-average" 0.280198851190476
"76" "WALKING_DOWNSTAIRS" 16 "tBodyAcc.mean.X-average" 0.295586802191489
"77" "WALKING_DOWNSTAIRS" 17 "tBodyAcc.mean.X-average" 0.29391828326087
"78" "WALKING_DOWNSTAIRS" 18 "tBodyAcc.mean.X-average" 0.288439468909091
"79" "WALKING_DOWNSTAIRS" 19 "tBodyAcc.mean.X-average" 0.262688053871795
"80" "WALKING_DOWNSTAIRS" 20 "tBodyAcc.mean.X-average" 0.296144421355556
"81" "WALKING_DOWNSTAIRS" 21 "tBodyAcc.mean.X-average" 0.3014610196
"82" "WALKING_DOWNSTAIRS" 22 "tBodyAcc.mean.X-average" 0.284458963861111
"83" "WALKING_DOWNSTAIRS" 23 "tBodyAcc.mean.X-average" 0.289897411148148
"84" "WALKING_DOWNSTAIRS" 24 "tBodyAcc.mean.X-average" 0.288631208909091
"85" "WALKING_DOWNSTAIRS" 25 "tBodyAcc.mean.X-average" 0.291329666206897
"86" "WALKING_DOWNSTAIRS" 26 "tBodyAcc.mean.X-average" 0.2792845828
"87" "WALKING_DOWNSTAIRS" 27 "tBodyAcc.mean.X-average" 0.2975441875
"88" "WALKING_DOWNSTAIRS" 28 "tBodyAcc.mean.X-average" 0.293642076521739
"89" "WALKING_DOWNSTAIRS" 29 "tBodyAcc.mean.X-average" 0.293140441083333
"90" "WALKING_DOWNSTAIRS" 30 "tBodyAcc.mean.X-average" 0.283190646967742
"91" "SITTING" 1 "tBodyAcc.mean.X-average" 0.261237565425532
